생년월일,연령,성별,휴대폰번호,이메일,주소,아이디,가입일,차량구분,구매한제품,친환경차,제품구매날짜,거래금액,거래방식,제품구매빈도,제품구매경로,제품출시년월,지역,고객세그먼트,Cluster
1987-05-25,38,남,+1-983-243-5951,jeremyberger@newton-watson.com,인천광역시 부평구 부평대로 88,user762756,2023-09-21,픽업트럭,K3,False,2023-10-13,55987533,현금,6,온라인,2020-05,미국,0,3
1979-11-24,46,여,001-718-884-2716,robert55@hotmail.com,경기도 고양시 일산동구 중앙로 1036,user787282,2025-01-12,준대형 SUV,Pegas,False,2025-01-30,26135305,계좌이체,1,온라인,2020-12,미국,3,1
1984-08-25,41,남,(532)836-9308,garciaelizabeth@burns.net,인천광역시 부평구 부평대로 88,user293846,2024-12-17,준대형 세단,Optima / K5,False,2025-01-05,20425328,현금,3,온라인,2021-01,미국,2,0
1971-08-07,54,여,640.695.8051,phillipstroy@yahoo.com,전라북도 군산시 백릉로 300,user935434,2024-01-17,중형 세단,Rio(pride),False,2024-02-14,28976142,신용카드,6,오프라인,2020-06,미국,0,3
1991-12-26,34,여,+1-023-521-7921x18289,anthonygraves@smith.com,세종특별자치시 나성북로 21,user384834,2024-12-07,준중형 SUV,EV6,True,2024-12-29,53143909,계좌이체,1,온라인,2019-03,미국,1,4
1987-02-28,38,여,001-434-645-8295x4637,jeffreysmith@chandler.info,전라북도 군산시 백릉로 300,user138985,2024-12-06,준중형 해치백,KX7,False,2024-12-14,38535502,계좌이체,1,오프라인,2021-11,미국,3,1
1997-12-07,28,남,001-414-656-6370x7043,kathybryant@yahoo.com,경상북도 포항시 남구 중앙로 210,user749955,2025-01-25,준중형 해치백,KX7,False,2025-02-06,67193212,계좌이체,1,온라인,2020-04,미국,1,5
1985-02-16,40,남,001-909-126-1935x81514,cindy40@collins.org,충청남도 천안시 서북구 불당로 48,user966241,2023-12-13,준대형 세단,C'eed CUV,False,2023-12-27,26383983,현금,1,오프라인,2022-12,미국,2,0
1973-05-01,52,남,(904)015-0762,andrewhernandez@gmail.com,서울특별시 종로구 종로1길 36,user772509,2023-09-17,준대형 세단,K4,False,2023-10-03,19383254,신용카드,3,오프라인,2019-04,미국,2,0
1971-10-04,54,여,+1-372-307-3571x36187,becky89@yahoo.com,인천광역시 부평구 부평대로 88,user100650,2023-03-25,준중형 해치백,Optima / K5,False,2023-04-01,40763390,현금,1,온라인,2019-05,미국,2,2
1999-02-18,26,남,860-641-4425x0969,kimberlyrivera@berry-williams.com,서울특별시 종로구 종로1길 36,user643383,2024-03-03,소형 해치백,Telluride,False,2024-03-26,34091076,계좌이체,5,오프라인,2022-10,미국,0,3
1987-11-15,38,여,5296537047,franklinmichael@yahoo.com,세종특별자치시 나성북로 21,user338344,2024-12-07,준대형 SUV,C'eed CUV,False,2024-12-14,67603364,계좌이체,1,온라인,2018-05,미국,1,4
1990-02-28,35,남,+1-340-211-0454,paul65@knox.org,세종특별자치시 나성북로 21,user686967,2023-12-22,준대형 세단,Optima / K5,False,2023-12-24,23452830,계좌이체,1,오프라인,2022-08,미국,3,1
1977-05-17,48,남,931-210-8110,uruiz@johnson.info,울산광역시 남구 삼산로 198,user619330,2024-09-16,준대형 SUV,KX5,False,2024-10-07,66901836,신용카드,1,온라인,2021-09,미국,1,5
1966-06-16,59,남,+1-833-812-7249x014,kevin93@bennett-howell.org,울산광역시 남구 삼산로 198,user304273,2022-12-18,소형 해치백,Seltos,False,2022-12-20,60930821,현금,1,온라인,2018-11,미국,1,5
1966-08-24,59,여,230.201.9268,brucetravis@hotmail.com,충청남도 천안시 서북구 불당로 48,user939968,2023-05-05,준대형 SUV,Sorento,False,2023-05-08,64556403,신용카드,2,오프라인,2018-05,미국,1,4
1970-05-10,55,남,080-026-4913,hgreen@hotmail.com,광주광역시 서구 상무중앙로 75,user166725,2024-02-10,소형 해치백,C'eed CUV,False,2024-03-06,62079278,현금,2,오프라인,2018-11,미국,1,5
1977-04-11,48,남,889-190-0002x4201,ymurray@price.com,광주광역시 서구 상무중앙로 75,user757291,2023-06-10,중형 SUV,Carnival,False,2023-06-14,50594958,계좌이체,1,오프라인,2020-02,미국,1,5
1983-10-17,42,여,891.367.1616x8498,patrickyoung@watts.com,충청남도 천안시 서북구 불당로 48,user864468,2024-12-23,준중형 세단,Telluride,False,2025-01-06,20907477,신용카드,2,오프라인,2018-03,미국,2,2
1968-04-17,57,남,973-444-6346x4749,ashley31@gmail.com,부산광역시 동래구 충렬대로 237,user578445,2022-12-22,준대형 세단,K2,False,2022-12-24,35314131,신용카드,3,오프라인,2023-03,미국,0,3
1981-01-05,44,여,+1-952-254-9457x03176,cardenaslori@lewis.info,충청북도 청주시 상당구 상당로 82,user279214,2025-01-18,픽업트럭,KX3,False,2025-01-27,29746428,계좌이체,3,온라인,2020-07,미국,3,1
1964-08-03,61,남,654-876-5781,fishersarah@yahoo.com,광주광역시 서구 상무중앙로 75,user847241,2023-07-02,준중형 해치백,Rio(pride),False,2023-07-07,32321579,계좌이체,3,온라인,2021-03,미국,3,1
1983-07-29,42,남,319-651-6441x80540,jessica80@alvarado.info,충청남도 천안시 서북구 불당로 48,user743034,2025-02-01,준중형 세단,EV6,True,2025-02-27,52657090,계좌이체,1,온라인,2020-01,미국,1,5
1999-11-12,26,여,815.749.1671x656,lowealicia@yahoo.com,충청북도 청주시 상당구 상당로 82,user648466,2024-12-17,준대형 세단,Seltos,False,2025-01-12,43023647,계좌이체,1,온라인,2022-03,미국,3,1
1987-05-19,38,여,188-116-7873,hansenluke@hotmail.com,울산광역시 남구 삼산로 198,user120391,2025-01-18,준중형 SUV,Forte,False,2025-02-13,41402214,현금,1,오프라인,2020-06,미국,2,2
1987-08-30,38,남,139.570.0168x451,jessicawilkerson@thompson.info,광주광역시 서구 상무중앙로 75,user781938,2023-07-03,중형 세단,K4,False,2023-07-26,30744454,신용카드,3,오프라인,2019-01,미국,0,3
1988-01-12,37,여,001-953-762-1098x53272,laurawilliams@yahoo.com,울산광역시 남구 삼산로 198,user750755,2025-03-15,준중형 SUV,C'eed CUV,False,2025-03-25,20437015,계좌이체,3,온라인,2022-04,미국,3,1
1981-12-18,44,여,170.496.7294x27919,nvelez@benson-mills.com,광주광역시 서구 상무중앙로 75,user580533,2023-05-31,준중형 SUV,Rio(pride),False,2023-06-27,55814940,현금,3,오프라인,2019-11,미국,1,4
1967-04-09,58,남,(993)210-3674,chapmanyolanda@morrow-estrada.com,충청북도 청주시 상당구 상당로 82,user617094,2023-10-08,준중형 SUV,Carnival,False,2023-10-30,51430852,신용카드,2,오프라인,2019-12,미국,1,5
