이름,생년월일,연령,성별,휴대폰번호,이메일,주소,아이디,가입일,차량구분,구매한 제품,친환경차,제품 구매 날짜,거래 금액,거래 방식,제품 구매 빈도,제품 구매 경로,제품 출시년월,지역,고객 세그먼트
Emily Johnson,1987-05-25,38,남,+1-983-243-5951,jeremyberger@newton-watson.com,"46935 Martinez Ridges, Arnoldborough, NM 62572",whogan,2022-06-22,픽업트럭,K3,False,2023-10-13,55987533,현금,6,온라인,2020-05,미국,1
Jessica Smith,1979-11-24,46,여,001-718-884-2716,robert55@hotmail.com,"403 Tucker Rapid, Evansstad, KY 40637",butlerapril,2024-10-08,준대형 SUV,Pegas,False,2025-01-30,26135305,계좌이체,1,온라인,2020-12,미국,3
Robert White,1984-08-25,41,남,(532)836-9308,garciaelizabeth@burns.net,"00565 Mercado Expressway, New Roy, MT 96663",joneslori,2022-07-17,준대형 세단,Optima / K5,False,2025-01-05,20425328,현금,3,온라인,2021-01,미국,2
John Smith,1971-08-07,54,여,640.695.8051,phillipstroy@yahoo.com,"18849 Decker Circles, Walkerburgh, MD 46982",omathews,2023-03-23,중형 세단,Accent (HC),False,2024-02-14,28976142,신용카드,6,오프라인,2020-06,미국,2
Emily Thomas,1991-12-26,34,여,+1-023-521-7921x18289,anthonygraves@smith.com,"814 Murillo Road Suite 056, East Tiffany, AZ 77931",stephen76,2024-06-08,준중형 SUV,EV6,True,2024-12-29,53143909,계좌이체,1,온라인,2019-03,미국,0
Robert White,1987-02-28,38,여,001-434-645-8295x4637,jeffreysmith@chandler.info,"34253 Tina Crossroad Apt. 940, North Christophershire, DC 07259",gbeck,2022-09-05,준중형 해치백,KX7,False,2024-12-14,38535502,계좌이체,1,오프라인,2021-11,미국,3
Michael Anderson,1997-12-07,28,남,001-414-656-6370x7043,kathybryant@yahoo.com,"3554 Yang Crossroad, Lake Amanda, ME 60557",dhughes,2024-11-04,준중형 해치백,KX7,False,2025-02-06,67193212,계좌이체,1,온라인,2020-04,미국,0
John White,1985-02-16,40,남,001-909-126-1935x81514,cindy40@collins.org,"0846 Nelson Groves Suite 697, Wardchester, WV 09216",johnsmith,2022-08-05,준대형 세단,C'eed CUV,False,2023-12-27,26383983,현금,1,오프라인,2022-12,미국,3
David White,1973-05-01,52,남,(904)015-0762,andrewhernandez@gmail.com,"94342 Andrew Dam, Tammieland, PA 72269",steven87,2023-02-21,준대형 세단,K4,False,2023-10-03,19383254,신용카드,3,오프라인,2019-04,미국,2
John Smith,1971-10-04,54,여,+1-372-307-3571x36187,becky89@yahoo.com,"58535 Reid River Suite 154, West Johnton, IA 72276",smartinez,2023-03-31,준중형 해치백,K5,False,2023-04-01,40763390,현금,1,온라인,2019-05,미국,3
John Brown,1999-02-18,26,남,860-641-4425x0969,kimberlyrivera@berry-williams.com,"USS Rice, FPO AE 56603",ashleymeyer,2023-08-29,소형 해치백,Telluride,False,2024-03-26,34091076,계좌이체,5,오프라인,2022-10,미국,2
Emily Taylor,1987-11-15,38,여,5296537047,franklinmichael@yahoo.com,"51834 Duarte Falls Suite 554, Rhodesville, KY 23754",andrew36,2024-09-10,준대형 SUV,C'eed CUV,False,2024-12-14,67603364,계좌이체,1,온라인,2018-05,미국,0
Emma Brown,1990-02-28,35,남,+1-340-211-0454,paul65@knox.org,"6349 Robert Way Apt. 557, Richmondshire, KS 47528",dana36,2023-01-14,준대형 세단,K5,False,2023-12-24,23452830,계좌이체,1,오프라인,2022-08,미국,3
