이름,성별,생년월일,연령,구매한 제품,제품 출시년월,제품 구매 날짜,거래 금액,제품 구매 빈도,지역,고객 세그먼트,전기차 여부
최민준,남,1985-08-08,40,Forte,2018-08,2019-04-10,26160000,1,대한민국,3,False
최수아,여,1996-10-25,29,Sportage,2021-07,2023-11-16,26020000,5,대한민국,1,False
장도윤,남,1986-05-09,39,Pegas,2020-12,2022-07-24,45460000,3,대한민국,1,False
장예린,여,1963-06-21,62,Sportage,2021-07,2022-08-25,30680000,2,대한민국,3,False
박지민,여,1984-03-25,41,Forte,2018-08,2019-12-28,45280000,1,대한민국,3,False
박예린,여,1963-09-14,62,Carnival,2020-08,2022-03-24,24020000,1,대한민국,3,False
정도윤,남,1981-11-03,44,Tucson(NX4),2020-09,2022-01-04,25090000,1,대한민국,3,False
김시우,남,1984-11-20,41,Carens MPV,2017-01,2017-03-12,29180000,4,대한민국,1,False
윤도윤,남,1981-05-01,44,C'eed CUV,2018-10,2019-05-13,24980000,2,대한민국,3,False
임도윤,남,1985-04-18,40,KX5,2019-01,2021-04-04,33600000,3,대한민국,1,False
정지민,여,1983-09-16,42,K2,2017-03,2017-07-09,34130000,1,대한민국,3,False
조하준,남,1986-01-19,39,Zhipao,2018-06,2019-02-12,18170000,6,대한민국,3,False
장지아,여,1978-03-07,47,KX5,2019-01,2019-09-23,36250000,4,대한민국,1,False
장수아,여,1976-08-24,49,Sonet,2020-08,2022-09-27,31290000,1,대한민국,3,False
박서윤,여,1994-08-06,31,Tucson(NX4),2020-09,2022-04-09,23770000,1,대한민국,3,False
이민준,남,1960-07-05,65,EV5,2023-10,2025-08-06,17820000,1,대한민국,2,True
최지후,남,1983-01-20,42,Sonet,2020-08,2022-07-14,51740000,1,대한민국,3,False
김서연,여,1994-09-14,31,K3,2021-04,2021-05-18,41850000,2,대한민국,3,False
김지아,여,1971-02-04,54,Rio(pride),2016-07,2016-12-30,28280000,2,대한민국,3,False
조지민,여,1985-02-12,40,Sorento,2020-03,2021-07-14,24950000,1,대한민국,3,False
이서연,여,1965-07-13,60,Sorento,2020-03,2021-10-17,15050000,2,대한민국,3,False
이지후,남,1987-11-26,38,KX5,2019-01,2020-09-01,51890000,1,대한민국,3,False
최도윤,남,1996-08-09,29,Pegas,2020-12,2021-03-17,48770000,1,대한민국,3,False
박하준,남,1961-04-19,64,EV6,2021-08,2023-10-10,47230000,1,대한민국,3,True
정예준,남,1996-04-19,29,EV5,2023-10,2026-03-18,44790000,2,대한민국,2,True
강서윤,여,1965-09-24,60,Seltos,2019-07,2019-09-23,31570000,3,대한민국,1,False
조주원,남,1980-01-21,45,K5,2019-12,2022-03-12,33290000,1,대한민국,3,False
장지아,여,1987-03-22,38,Carnival (CKD),2021-02,2023-01-08,20840000,2,대한민국,3,False
이서준,남,1977-03-13,48,C'eed,2012-06,2014-09-11,24720000,2,대한민국,3,False
조지우,여,1965-01-10,60,K2,2017-03,2018-04-03,18660000,1,대한민국,3,False
박주원,남,1988-09-18,37,Rio(pride),2016-07,2017-09-21,15390000,2,대한민국,3,False
장지우,여,1998-10-26,27,KX5,2019-01,2020-02-29,29740000,1,대한민국,3,False
이하은,여,1996-09-06,29,Sportage,2021-07,2022-08-24,22180000,1,대한민국,3,False
정예린,여,1969-02-06,56,Carnival,2020-08,2021-06-09,31190000,5,대한민국,1,False
조시우,남,1975-12-21,50,KX3,2015-03,2016-11-28,27250000,6,대한민국,1,False
박시우,남,1960-07-11,65,EV5,2023-10,2025-07-27,45510000,4,대한민국,1,True
조지아,여,1998-03-10,27,KX5,2019-01,2020-10-09,27780000,1,대한민국,3,False
박지아,여,1980-05-24,45,C'eed,2012-06,2014-04-10,36400000,1,대한민국,3,False
강지민,여,1985-06-04,40,Tucson(NX4),2020-09,2022-05-01,42030000,3,대한민국,1,False
장민준,남,1989-12-07,36,K2,2017-03,2019-06-25,42060000,2,대한민국,3,False
윤서윤,여,2000-05-08,25,K5,2019-12,2021-11-04,44100000,1,대한민국,3,False
이예린,여,1998-08-19,27,Sorento,2020-03,2021-09-29,51010000,2,대한민국,3,False
조서준,남,1966-04-22,59,Sportage,2021-07,2022-07-29,35460000,1,대한민국,3,False
조지아,여,1966-01-04,59,K5,2019-12,2020-08-14,46770000,5,대한민국,1,False
윤하준,남,1985-08-25,40,Sportage,2021-07,2023-03-25,32330000,1,대한민국,3,False
김예린,여,1966-05-14,59,Tucson(NX4),2020-09,2020-12-27,43280000,3,대한민국,1,False
정수아,여,1989-04-17,36,KX3,2015-03,2016-03-21,23630000,1,대한민국,3,False
