이름,생년월일,연령,성별,휴대폰번호,이메일,주소,아이디,가입일,차량구분,구매한 제품,친환경차,제품 구매 날짜,거래 금액,거래방식,제품구매빈도,제품구매경로,제품출시년월,국가,고객 세그먼트,Cluster
Robert Brown,1971-10-28,54,남,4332181960,robinsonwilliam@hoffman.net,"402 Peterson Drives Apt. 511, Davisstad, KS 06196",yherrera,2022-07-31,준대형 SUV,Avante,False,2024-12-04,21100000,신용카드,2,온라인,2020-09,미국,2,5
Michael Wilson,1984-03-12,41,남,+1-959-310-3413x1647,mitchellclark@yahoo.com,"283 Steven Groves, Lake Mark, WI 07832",lydiatrujillo,2023-12-14,준중형 SUV,Ioniq 6,True,2024-07-08,80410000,현금,1,오프라인,2023-01,미국,1,1
Robert Johnson,1968-10-01,57,남,953.767.2423,zhurst@yahoo.com,"710 Eric Estate, Carlsonfurt, PA 61849",tasha01,2025-02-22,준중형 세단,Sorento,False,2025-03-20,63160000,현금,2,온라인,2021-04,미국,1,2
David Moore,1982-05-27,43,남,001-514-627-0482x81489,nathanielmartin@sellers.com,"USNV Allen, FPO AE 74865",millertodd,2022-07-16,픽업트럭,EV6,True,2024-10-20,88060000,신용카드,1,오프라인,2022-05,미국,1,1
David Wilson,1972-10-20,53,여,(782)489-6383,pcarney@yahoo.com,"33150 Brianna Avenue Apt. 031, Port Markhaven, KY 88185",ilewis,2024-09-03,중형 SUV,Avante,False,2025-03-05,26010000,신용카드,2,온라인,2020-09,미국,2,5
Robert Thomas,1980-10-12,45,여,631.165.6670x1065,jamesherrera@henderson.info,"8108 Tanya Terrace, East Richard, IL 53066",martinaaron,2023-11-27,픽업트럭,Accent,False,2024-06-19,23320000,신용카드,5,온라인,2019-03,미국,3,3
Laura Brown,1995-03-18,30,여,687-234-3098x0500,brianromero@gmail.com,"361 Beth Canyon, South Dianeshire, MD 34680",elizabethedwards,2023-05-17,픽업트럭,Tucson,False,2024-03-19,49700000,계좌이체,1,오프라인,2021-07,미국,0,0
Jessica Brown,1973-02-24,52,남,+1-475-107-9911x83842,suarezmike@gmail.com,"808 Huynh Cove Apt. 411, West Juan, VT 45443",gracefarrell,2024-05-24,소형 해치백,Grandeur,False,2024-11-29,60580000,계좌이체,3,오프라인,2022-03,미국,3,3
David Moore,1981-05-02,44,여,1640052427,rodriguezsierra@hotmail.com,"PSC 8059, Box 8262, APO AE 40905",rachel05,2023-02-20,대형 SUV,Santa Fe,False,2024-08-02,42430000,계좌이체,1,오프라인,2020-10,미국,0,0
Laura Brown,1981-03-24,44,남,+1-158-692-3226x02563,kristinrodriguez@gmail.com,"75433 Donna Locks, Joshualand, KY 46526",ifrazier,2023-08-27,중형 SUV,Sportage,False,2023-09-17,42260000,신용카드,2,오프라인,2021-11,미국,2,5
Emily White,1972-02-04,53,여,294-019-6556x981,jonathanfletcher@gmail.com,"6159 Alvarado Crossing, Williamchester, MO 91885",angela36,2025-01-26,중형 SUV,Accent,False,2025-03-03,21750000,신용카드,2,온라인,2019-03,미국,2,5
Jessica Thomas,1976-02-02,49,여,+1-946-804-4369x957,glowe@yahoo.com,"148 Davis Terrace, Lake Lance, ID 19814",williamstracey,2024-11-04,픽업트럭,Avante,False,2024-11-18,24290000,계좌이체,3,온라인,2020-09,미국,0,0
David Davis,1995-03-28,30,여,(936)763-2016x32870,bryantlaurie@schmidt.info,"727 Green Gateway Suite 873, Scottport, KY 44521",patricia12,2022-11-20,대형 SUV,Tucson,False,2023-11-14,38360000,현금,1,오프라인,2021-07,미국,2,5
Jessica Thomas,1990-04-24,35,남,001-231-665-8760x366,wwoods@molina-castaneda.biz,"3467 Paul Skyway, Ramseymouth, DC 82061",meadowsbrittany,2025-01-23,준중형 세단,Accent,False,2025-01-25,21640000,계좌이체,4,온라인,2019-03,미국,3,4
Michael Thomas,1969-12-16,56,남,+1-627-204-6537x5564,mary70@hotmail.com,"10033 Christine Garden Apt. 719, South Holly, MN 22493",stricklandfrank,2023-07-27,준중형 SUV,Kona,True,2023-10-18,32350000,현금,1,온라인,2022-02,미국,2,5
Emma Johnson,1965-12-29,60,여,966-319-3149x1905,casey50@yahoo.com,"5726 Jessica Run, Christinaside, NJ 61432",lpetersen,2023-05-21,준중형 세단,Sportage,False,2024-01-26,33040000,신용카드,5,온라인,2021-11,미국,3,3
Michael Moore,1980-12-13,45,여,473-799-6507,tonykelly@yahoo.com,"083 John Lodge Suite 837, Westtown, LA 29546",tholt,2025-01-25,준대형 SUV,Tucson,False,2025-03-22,45630000,신용카드,3,온라인,2021-07,미국,2,5
Sarah Thomas,1989-05-11,36,여,885.685.5744x4313,newtonstephanie@hotmail.com,"749 Hooper Village, West Jeremy, ME 02355",joshuamccann,2024-08-06,준대형 SUV,NEXO,True,2024-11-27,54190000,현금,3,오프라인,2018-03,미국,3,4
Emily Moore,1972-11-02,53,여,+1-710-947-7752x0471,kvasquez@parks.com,"86999 Kimberly Light, Kerrport, OR 56708",ashley09,2022-09-01,준대형 세단,K5,False,2023-07-20,66640000,계좌이체,4,온라인,2020-01,미국,3,3
Emily Thomas,1978-08-10,47,여,123-281-2067x974,keithcampbell@jones-hall.com,"1832 Serrano Cliffs, East Laurashire, LA 58061",harrisonkevin,2023-12-16,대형 SUV,G80,False,2024-07-14,71060000,계좌이체,1,온라인,2021-05,미국,1,2
David Anderson,1998-04-21,27,남,+1-771-906-5940,suzannehuff@matthews.com,"8742 Walters Overpass, South Michaelmouth, TN 14211",marksteele,2023-06-21,준대형 세단,Santa Fe,False,2024-11-16,33850000,계좌이체,2,온라인,2020-10,미국,0,0
David Wilson,1991-07-01,34,남,001-807-154-5168x08760,cindy77@harris.com,"PSC 7710, Box 9324, APO AP 02293",hdavis,2024-03-16,준중형 세단,Sportage,False,2025-03-18,41490000,현금,1,온라인,2021-11,미국,2,5
